,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed,position,height,weight,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
1459,1459,1459,1459,cstartzel,Casey Startzell,26,1.58,0.5,1.08,0.62,28.88,95.55,1.38,1.19,0.0,0.12,0.35,0.0,0.04,,,,,,19.94,25.31,39.06,20.46,15.23,5.23,Handler,,,3.4898283308990075,1.2043313697610256,0.019823496905542307,-2.257570027525939,-0.7884318324669338,-0.2730141193888433,-0.45546174833157627
1460,1460,1460,1460,dlevorsen,Drew Levorsen,13,0.54,0.23,0.31,0.62,3.46,,0.31,0.15,0.0,0.0,0.23,0.0,0.0,,,,,,7.88,5.0,,8.08,0.62,7.46,Handler,71.0,175.0,-0.3850875974071027,0.3693786127926652,0.5874668783570455,-0.08923724740753718,-0.04610638737243701,0.058543693837981865,0.20537546409243412
1461,1461,1461,1461,edixon,Eric Dixon,13,2.15,1.38,0.77,0.62,17.46,91.16,0.0,1.69,0.0,0.15,0.31,0.0,0.08,,,,,,0.0,0.0,,9.15,7.23,1.92,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1462,1462,1462,1462,epeck,Ethan Peck,29,4.17,2.97,1.21,0.62,23.66,84.38,1.69,3.69,0.0,0.52,0.66,0.0,1.31,,,,,,24.59,29.41,37.16,22.79,15.21,7.59,Handler,72.0,165.0,0.4049850870747715,-0.833557590071438,0.5067609728940915,1.4475706545009583,0.40468796034118143,0.24575143989973114,0.3813654994161983
1463,1463,1463,1463,gsanti,Garrett Santi,39,0.97,0.41,0.56,0.62,5.1,90.05,0.21,0.49,0.05,0.18,0.31,0.0,8.21,66.33,26.58,39.75,0.13,,15.39,8.59,44.78,14.46,1.59,12.87,Defender,69.0,,-1.4003787602518547,-0.6315730895357248,-0.3764580402436392,-0.3634825629582907,-3.1353219660513374,-0.17257474055406932,-1.126708914697248
1464,1464,1464,1464,jkinde,Jordan Kinde,21,2.29,1.67,0.62,0.62,15.33,87.26,0.81,1.86,0.0,0.24,0.43,0.0,1.05,137.89,90.33,47.56,0.56,50.0,22.56,20.14,34.28,18.24,12.1,6.14,Handler,71.0,155.0,0.1210631240685675,-0.027512750063159275,0.13940314075838872,0.9236645408860559,-0.05927287660848024,0.13407963972063627,0.24407051374320127
1465,1465,1465,1465,jrobin,Jimmy Robin,26,0.73,0.62,0.12,0.62,5.15,91.16,0.31,0.5,0.0,0.15,0.54,0.0,0.15,,,,,,7.23,6.69,33.91,10.04,0.85,9.19,Handler,,,-1.8890106064240824,-0.34350583912309957,0.04529193311766406,0.09807955586699557,0.09138562269703915,0.03454971184296217,-0.0271871818603502
1466,1466,1466,1466,sgabriels,Sam Gabrielson,13,0.92,0.62,0.31,0.62,9.15,95.97,0.92,0.38,0.0,0.0,0.08,0.0,0.08,105.36,73.55,31.82,0.18,,13.01,9.77,51.97,12.23,4.08,8.15,Handler,,,-0.6331140078316786,-0.25563738765222255,0.2691950198639624,0.5004241886026358,0.22697493348099018,0.1070725519910294,0.18523918857384145
1467,1467,1467,1467,smay,Steve May,13,0.46,0.23,0.23,0.62,1.0,,0.15,0.31,0.0,0.0,0.46,0.0,0.0,,,,,,8.62,5.77,,10.85,0.77,10.08,Handler,77.0,210.0,-1.432302950700573,-0.18607791693486067,0.2926509956681344,-0.2371123504735744,0.36646993940887257,0.028375843109639063,0.058982666917142976
1468,1468,1468,1468,smorgan,Sam Morgan,37,0.73,0.27,0.46,0.62,4.41,87.17,0.05,0.57,0.0,0.03,0.49,0.0,0.89,,,,,,5.66,5.11,31.75,9.73,3.57,6.16,Handler,,,-1.9764592432289767,-0.6914613134971245,1.0255742970488615,0.042694537991269765,1.5733801261892908,0.17204809196428272,0.4875469119330744
1469,1469,1469,1469,aking,Adrian King,23,1.83,1.35,0.48,0.61,30.13,92.65,1.61,1.52,0.0,0.13,0.43,0.0,0.96,,,,,,21.74,27.3,39.81,18.96,15.52,3.43,Handler,,,-0.5513415044734702,-0.9337294670119172,-1.4029920155029731,-0.6954434673338328,-0.017655596515493185,-0.19692828260302345,-0.762455136591054
1470,1470,1470,1470,jwelkener,Joseph Welkener,18,1.0,0.56,0.44,0.61,6.0,87.1,0.22,0.78,0.0,0.06,0.44,0.0,1.17,77.94,41.78,36.17,0.22,,13.77,10.22,40.22,12.39,4.61,7.78,Handler,,,-2.537186472919412,-1.1195405119658228,0.5697910676699196,-0.26961675449101674,0.8074459917444811,0.0660656765974361,-0.0029800517606097254
1471,1471,1471,1471,jwinn,Justin Winn,18,2.44,0.94,1.5,0.61,12.56,85.28,0.67,1.83,0.0,0.28,0.28,0.0,0.56,194.67,85.89,108.78,0.44,44.44,21.44,19.72,38.87,21.06,13.11,7.94,Cutter,,,0.3190664953306849,-0.0461737244882075,0.13972140587409365,-0.45207685882327253,-1.3536662831045085,-0.07170629233006963,-0.42804886513547374
1472,1472,1472,1472,mellis,Matt Ellis,23,0.74,0.39,0.35,0.61,3.74,,0.26,0.52,0.0,0.04,0.43,0.0,0.52,56.18,37.09,19.09,0.45,,10.99,6.57,45.7,11.17,0.78,10.39,Cutter,73.0,175.0,-2.559429371978349,-0.2660611564077999,-0.6992673404177255,0.34603805683829725,0.27385522521098954,0.00029513485361336067,-0.08635880369405967
