,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,year,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,height,weight,predicted position,player_id,oscorerate,dscorerate,o_point_on_off_rating,d_point_on_off_rating,total_on_off_rating,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
17,17,17,17,17,17,bjohnson,Ben Johnson,2,1.0,0.0,1.0,3.0,3.5,,0.0,0.5,0.0,0.0,2.5,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
18,18,18,18,18,18,kwillisry,Kevin Willis Ryan,14,3.71,1.64,2.07,2.93,8.14,90.48,0.0,0.86,0.0,0.5,0.57,0.0,0.0,CLB,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
19,19,19,19,19,19,gowens,Greg Owens,14,2.57,1.79,0.79,2.79,5.86,87.23,0.0,0.86,0.0,0.29,1.36,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
20,20,20,20,20,20,jguest,John-Michael Guest,9,2.0,0.11,1.89,2.78,2.78,89.29,0.0,0.33,0.0,0.11,1.22,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
21,21,21,21,21,21,aweitzman,Ari Weitzman,11,2.36,0.73,1.64,2.73,5.91,95.59,0.0,0.64,0.0,0.09,1.09,0.0,0.0,ROC,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
22,22,22,22,22,22,hcarnegie,Husayn Carnegie,7,2.0,0.29,1.71,2.71,5.14,94.74,0.0,0.57,0.0,0.14,1.43,0.0,0.0,CON,2012,,,,,,,,,,,,,,Defender,,,,,,,0.0832768770011523,-0.4532975582768778,0.660580481091743,-0.6975785593377234,-0.5334104109718448,-0.022630337410636872,-0.25592651187367577
23,23,23,23,23,23,jpayne,Jared Payne,16,3.38,1.88,1.5,2.69,5.06,87.1,0.0,0.75,0.0,0.13,0.19,0.0,0.0,CLB,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
24,24,24,24,24,24,durbino,Doug Urbino,9,1.78,0.22,1.56,2.67,1.44,,0.0,0.22,0.0,0.0,1.11,0.0,0.0,ROC,2012,,,,,,,,,,,,,,Defender,,,,,,,0.547045862345762,-0.16603298619558535,0.8422647851116651,0.2089691229909678,-0.9587880633099813,0.08479327833448747,-0.01839678535073344
25,25,25,25,25,25,kriechert,Kevin Riechert,15,3.0,1.8,1.2,2.67,9.27,90.26,0.0,1.0,0.0,0.07,0.73,0.0,0.0,CLB,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
26,26,26,26,26,26,csackmann,Christopher Sackmann,11,1.82,0.45,1.36,2.64,3.91,87.76,0.0,0.55,0.0,0.0,1.36,0.0,0.0,IND,2012,,,,,,,,,,,,,,Defender,,,,,,,-0.2512215095879325,0.00662212308289113,-0.7457188018576042,-0.688574108307742,-1.4700405451947294,-0.18605108181312055,-0.7244278330692961
27,27,27,27,27,27,tkatzenba,Trey Katzenbach,14,3.21,2.07,1.14,2.64,11.29,89.77,0.0,1.29,0.0,0.07,0.79,0.0,0.0,PHS,2012,,,,,,,,,,,,73.0,205.0,Cutter,,,,,,,2.5978046900598253,0.9543553074124735,-2.6117322444795303,-2.15058610072363,-1.1619107810914906,-0.519593488264838,-1.2424684547205445
28,28,28,28,28,28,lvantreas,Logan Vantrease,15,3.73,2.07,1.67,2.53,13.93,95.43,0.0,1.6,0.0,0.33,0.73,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
29,29,29,29,29,29,bparris,Benjamin Parris,16,5.31,2.38,2.94,2.5,20.31,93.39,0.0,2.75,0.0,1.0,0.94,0.0,0.0,CIN,2012,,,,,,,,,,,,,,Cutter,,,,,,,1.62684395739489,0.7882133853286742,1.2358681707480237,-0.4001626673093118,-0.057977098167184646,0.08251729920307213,0.3914854476500504
30,30,30,30,30,30,mcihon,Mitch Cihon,13,2.23,0.46,1.77,2.46,2.62,87.18,0.0,0.38,0.0,0.08,0.69,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Defender,,,,,,,0.2263137765731272,-0.04660217588374314,-0.6023602648248204,-0.01981729367337741,-0.3466793116606125,-0.05514928441240876,-0.25386476151063836
31,31,31,31,31,31,mbaer,Michael Baer,11,1.64,0.64,1.0,2.45,4.91,90.0,0.0,0.55,0.0,0.0,1.36,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
32,32,32,32,32,32,cmazur,Chris Mazur,10,4.4,3.7,0.7,2.4,22.9,88.08,0.0,3.1,0.0,0.5,1.6,0.0,0.0,CON,2012,,,,,,,,,,,,,175.0,Handler,,,,,,,3.1616555526188934,1.0345648630924844,0.10611691577863551,2.262880852947816,-0.37476482177369513,0.2756482619145199,0.7571994525113102
33,33,33,33,33,33,kbaumann,Kevin Baumann,13,2.92,1.23,1.69,2.38,2.77,85.71,0.0,0.46,0.0,0.15,0.08,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Cutter,,,,,,,1.6126412569091184,0.5687120942163247,0.35712753374416645,0.5581984741027085,-0.41549589185522023,0.09930665489887686,0.26713555255199484
34,34,34,34,34,34,banderson1,Brent Anderson,12,4.42,3.33,1.08,2.33,15.42,88.1,0.0,2.08,0.0,0.67,0.67,0.0,0.0,CON,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
35,35,35,35,35,35,sredding,Schuyler Redding,15,3.4,1.53,1.87,2.27,8.8,91.03,0.0,1.47,0.0,0.6,0.93,0.0,0.0,CIN,2012,,,,,,,,,,,,,,Defender,,,,,,,0.9307628733349702,0.08897984253062378,-0.05811758292418554,0.8020601524509079,0.4810055436942473,0.12057004947026519,0.3284819889378984
36,36,36,36,36,36,tcarpente,Travis Carpenter,11,2.64,0.64,2.0,2.27,6.36,94.59,0.0,0.73,0.0,0.36,0.73,0.0,0.0,IND,2012,,,,,,,,,,,,72.0,170.0,Defender,,,,,,,3.045967295247573,-0.8512621976028831,-1.9688470652261696,1.6953658648760386,0.04264144081997627,0.030528412953645973,-0.2705254892832595
37,37,37,37,37,37,lchou,Leon Chou,13,2.31,1.69,0.62,2.23,12.85,90.27,0.0,1.38,0.0,0.54,1.85,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
38,38,38,38,38,38,ibryant,Isaiah Bryant,10,3.0,1.7,1.3,2.2,9.5,91.35,0.0,1.0,0.0,0.5,0.7,0.0,0.0,CON,2012,,,,,,,,,,,,,,Handler,,,,,,,-1.423270273360694,-0.8597843838984182,0.1753562535456844,1.0685434587736782,1.0107506620176405,0.19210667866876918,0.34871649760964624
39,39,39,39,39,39,ashull,Art Shull,15,3.07,1.27,1.8,2.13,7.8,86.67,0.0,1.2,0.0,0.53,0.8,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
40,40,40,40,40,40,analavald,Aman Nalavalde,12,2.58,0.5,2.08,2.08,4.92,86.76,0.0,0.75,0.0,0.0,0.25,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
41,41,41,41,41,41,cpeters,Casey Peters,12,2.5,1.0,1.5,2.08,5.33,88.89,0.0,0.67,0.0,0.0,0.25,0.0,0.0,RIR,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
42,42,42,42,42,42,dhughes,David Hughes,13,3.15,1.08,2.08,2.08,7.15,94.9,0.0,0.92,0.0,0.46,0.31,0.0,0.0,CIN,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
43,43,43,43,43,43,kplew,Keenan Plew,15,4.8,2.4,2.4,2.07,18.2,94.14,0.0,2.4,0.0,0.4,0.07,0.0,0.0,IND,2012,,,,,,,,,,,,66.0,135.0,Cutter,,,,,,,1.7404209256992322,-0.2582747463402244,-0.45941141101879335,2.3343084383240007,-1.9340310647457726,0.1760308194852063,-0.07935219594519743
44,44,44,44,44,44,mglazer,Matthew Glazer,16,3.31,1.38,1.94,2.06,7.38,86.76,0.0,1.13,0.0,0.5,0.38,0.0,0.0,PHS,2012,,,,,,,,,,,,71.0,145.0,Cutter,,,,,,,1.2508909168030884,0.31552428533330895,-0.07982327364082951,-0.6353363157838999,-0.22676794585244195,-0.07371817845433663,-0.1566008124859656
45,45,45,45,45,45,aaylward,Andrew Aylward,1,0.0,0.0,0.0,2.0,6.0,,0.0,1.0,0.0,0.0,3.0,0.0,0.0,CLB,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
46,46,46,46,46,46,alucarott,Andrew Lucarotti,15,3.73,2.87,0.87,2.0,12.87,96.02,0.0,1.4,0.0,0.73,0.4,0.0,0.0,DET,2012,,,,,,,,,,,,,,Handler,,,,,,,3.682789907407362,1.510714478476595,-1.5301214852544724,0.10419424842714121,1.0761735578155278,-0.07710919690530672,0.29024019986619787
47,47,47,47,47,47,bzid,Brian Zid,15,3.07,1.13,1.93,2.0,10.4,90.17,0.0,1.13,0.0,0.27,0.33,0.0,0.0,RIR,2012,,,,,,,,,,,,,,Cutter,,,,,,,-0.2387979816796823,-0.015228987431572841,-0.6375027659549608,-0.0537212350629012,-0.3470038487678928,-0.06238857754397867,-0.2633642093043319
48,48,48,48,48,48,dvalentin,David Valentine-Elam,13,2.08,0.46,1.62,2.0,3.15,89.13,0.0,0.38,0.0,0.15,0.46,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Cutter,,,,,,,1.6933824469314398,0.08286511775960606,-2.8470678009185018,1.215913013340367,0.5908478838638901,-0.08792748936927873,-0.23936044648865965
49,49,49,49,49,49,dwheeler,David Wheeler,12,2.5,0.75,1.75,2.0,8.5,87.93,0.0,1.17,0.0,0.5,1.17,0.0,0.0,ROC,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
50,50,50,50,50,50,janderson1,Joe Anderson,10,2.6,1.0,1.6,2.0,13.8,87.9,0.0,1.9,0.0,0.1,1.4,0.0,0.0,CON,2012,,,,,,,,,,,,,,Defender,,,,,,,0.8546058997691006,0.8332519156905898,-0.4894867398571359,-0.3851102428236991,-1.3408738326491803,-0.12224055567830432,-0.3455547249098564
51,51,51,51,51,51,joaks,Joe Oaks,1,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,IND,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
